"address_id","user_id","address_city","address_country","address_state","address_postcode","address_type"
175511,150000,"Denver","United States","Colorado",60491,"Residential"
255784,150530,"Providence","United States","Rhode Island",2912,"Residential"
530440,150612,"Washington","United States","District of Columbia",20520,"Residential"
387522,151648,"Washington","United States","District of Columbia",20226,"Residential"
522034,152334,"Fresno","United States","California",93773,"Residential"
202410,153187,"Gary","United States","Indiana",46406,"Residential"
900514,155685,"Roanoke","United States","Virginia",24034,"Business"
250406,157179,"Phoenix","United States","Arizona",59412,"Residential"
915482,157980,"Fort Worth","United States","Texas",76192,"Residential"
936736,158373,"Seattle","United States","Washington",98148,"Residential"
677850,158619,"Portland","United States","Oregon",97229,"Residential"
130793,159236,"Allentown","United States","Pennsylvania",10038,"Business"
625247,159431,"Saint Paul","United States","Minnesota",55108,"Residential"
177400,160492,"Amarillo","United States","Texas",79171,"Residential"
571978,161966,"Sacramento","United States","California",95833,"Residential"
757637,162958,"Charlotte","United States","North Carolina",28230,"Other"
891257,167352,"Mobile","United States","Alabama",36689,"Other"
455801,167852,"Newark","United States","Delaware",19725,"Business"
3862,168445,"Chicago","United States","Illinois",7014,"Residential"
429664,168677,"Washington","United States","District of Columbia",20535,"Other"
188312,169785,"Washington","United States","District of Columbia",20470,"Business"
324413,169986,"Columbus","United States","Ohio",43268,"Business"
265626,171638,"Bellevue","United States","Washington",98008,"Residential"
456332,172200,"Wichita","United States","Kansas",7934,"Residential"
87261,173715,"Greensboro","United States","North Carolina",11128,"Residential"
331713,174158,"Warren","United States","Ohio",44485,"Business"
279955,174681,"Dayton","United States","Ohio",44406,"Residential"
359731,174950,"Cincinnati","United States","Ohio",45254,"Residential"
732896,175486,"Alexandria","United States","Virginia",22301,"Other"
467352,176965,"Oceanside","United States","California",92056,"Residential"
423216,177929,"Las Vegas","United States","Nevada",89135,"Residential"
840307,177965,"Clearwater","United States","Florida",34629,"Residential"
176364,179377,"Los Angeles","United States","California",78444,"Business"
537799,179792,"Los Angeles","United States","California",90045,"Business"
143754,181275,"Jeffersonville","United States","Indiana",47134,"Residential"
719612,181319,"Lincoln","United States","Nebraska",68510,"Residential"
274770,181516,"Anchorage","United States","Alaska",99507,"Residential"
695223,181540,"Greensboro","United States","North Carolina",27415,"Residential"
144440,182822,"Valdosta","United States","Georgia",24871,"Residential"
617622,184071,"Dallas","United States","Texas",75323,"Business"
208039,184660,"Lincoln","United States","Nebraska",68510,"Other"
740948,184736,"San Jose","United States","California",95108,"Residential"
376409,185373,"Palmdale","United States","California",93591,"Residential"
299,186876,"Asheville","United States","North Carolina",4556,"Residential"
947817,187127,"Indianapolis","United States","Indiana",46278,"Business"
132043,188735,"Irvine","United States","California",43000,"Residential"
470868,190134,"Little Rock","United States","Arkansas",17121,"Residential"
892686,190314,"Savannah","United States","Georgia",31410,"Residential"
136234,190414,"Florence","United States","South Carolina",18163,"Residential"
239130,190842,"Naples","United States","Florida",33770,"Residential"
361337,191078,"Milwaukee","United States","Wisconsin",30240,"Other"
319741,193648,"Minneapolis","United States","Minnesota",55458,"Business"
18122,195400,"Philadelphia","United States","Pennsylvania",15050,"Residential"
487961,196721,"Atlanta","United States","Georgia",693,"Residential"
61440,196852,"Kansas City","United States","Kansas",17276,"Residential"
158903,199452,"Madison","United States","Wisconsin",53710,"Residential"
690574,200481,"Daytona Beach","United States","Florida",32128,"Residential"
940763,201199,"Des Moines","United States","Iowa",50320,"Residential"
150454,202192,"Toledo","United States","Ohio",43656,"Business"
542935,202872,"Atlanta","United States","Georgia",21552,"Business"
260572,203513,"Bronx","United States","New York",10469,"Business"
926702,204452,"Hartford","United States","Connecticut",1547,"Business"
684919,205809,"Huntington","United States","West Virginia",25705,"Business"
927061,208501,"Alexandria","United States","Virginia",22301,"Business"
173026,208515,"Dallas","United States","Texas",75260,"Business"
882675,208638,"Anniston","United States","Alabama",36205,"Residential"
380277,208755,"Atlanta","United States","Georgia",30358,"Business"
115254,211370,"Greensboro","United States","North Carolina",27409,"Residential"
429475,211637,"Staten Island","United States","New York",10310,"Residential"
726185,211812,"Montgomery","United States","Alabama",36109,"Other"
951412,212520,"Washington","United States","District of Columbia",20508,"Residential"
61363,212578,"Tacoma","United States","Washington",64239,"Other"
646660,214294,"Chicago","United States","Illinois",60614,"Residential"
851841,214550,"San Diego","United States","California",92153,"Business"
178963,217045,"Washington","United States","District of Columbia",7264,"Residential"
107392,217654,"Oklahoma City","United States","Oklahoma",73142,"Residential"
964967,220744,"Katy","United States","Texas",77493,"Residential"
709493,221369,"Clearwater","United States","Florida",34620,"Residential"
294292,222344,"Fort Lauderdale","United States","Florida",33345,"Residential"
701188,223077,"Fullerton","United States","California",92640,"Residential"
31266,223104,"Grand Rapids","United States","Michigan",15155,"Residential"
334206,226707,"Dallas","United States","Texas",75260,"Business"
616701,227550,"Carson City","United States","Nevada",89714,"Residential"
156340,228856,"Jamaica","United States","New York",11407,"Other"
605045,228991,"Newton","United States","Massachusetts",2162,"Business"
98476,229641,"Rockford","United States","Illinois",13224,"Other"
157882,231755,"Garden Grove","United States","California",92844,"Residential"
351399,231879,"San Francisco","United States","California",94121,"Residential"
561769,235292,"Tallahassee","United States","Florida",32309,"Residential"
773958,235782,"Waterbury","United States","Connecticut",6721,"Business"
675792,237925,"Sacramento","United States","California",94273,"Residential"
563542,238561,"Muskegon","United States","Michigan",49444,"Residential"
117533,241992,"Port Washington","United States","New York",6973,"Residential"
852452,246207,"Oakland","United States","California",42482,"Residential"
556426,246543,"Springfield","United States","Virginia",22156,"Residential"
688993,246810,"Lees Summit","United States","Missouri",17560,"Residential"
199928,247064,"Jamaica","United States","New York",11407,"Business"
318659,247738,"Oklahoma City","United States","Oklahoma",59507,"Residential"
462070,248268,"Tampa","United States","Florida",33647,"Business"
858891,248740,"San Antonio","United States","Texas",78220,"Residential"
554449,249104,"Washington","United States","District of Columbia",20404,"Residential"
930063,250256,"Long Beach","United States","California",90831,"Business"
82746,250804,"Wichita","United States","Kansas",4789,"Business"
140771,252609,"Minneapolis","United States","Minnesota",55446,"Residential"
426789,253549,"Corona","United States","California",73723,"Other"
865889,253858,"Austin","United States","Texas",78764,"Residential"
342828,253916,"Wichita","United States","Kansas",67260,"Other"
382957,254507,"Nashville","United States","Tennessee",37205,"Residential"
877518,254700,"Fort Lauderdale","United States","Florida",15912,"Residential"
152571,255725,"Montgomery","United States","Alabama",4451,"Business"
324547,255885,"Chicago","United States","Illinois",60657,"Residential"
283387,256624,"Des Moines","United States","Iowa",50362,"Business"
826322,256658,"Dulles","United States","Virginia",20189,"Residential"
212812,259275,"Tucson","United States","Arizona",34410,"Business"
866997,259280,"Los Angeles","United States","California",90040,"Business"
146951,259667,"Indianapolis","United States","Indiana",46295,"Residential"
621925,260223,"Greensboro","United States","North Carolina",27415,"Residential"
34117,260371,"Hampton","United States","Virginia",10432,"Business"
236035,261565,"Sterling","United States","Virginia",20167,"Residential"
899882,262616,"Columbus","United States","Ohio",32554,"Residential"
482722,262817,"Honolulu","United States","Hawaii",25711,"Residential"
678814,263817,"Omaha","United States","Nebraska",68144,"Residential"
516716,263904,"Vancouver","United States","Washington",98682,"Business"
605834,265204,"Lansing","United States","Michigan",24726,"Residential"
225916,268734,"Roanoke","United States","Virginia",24040,"Residential"
258618,269111,"San Antonio","United States","Texas",31707,"Residential"
506796,269215,"Atlanta","United States","Georgia",31165,"Residential"
687866,269273,"Denver","United States","Colorado",80262,"Residential"
580934,270930,"Detroit","United States","Michigan",48232,"Business"
790066,271747,"Santa Rosa","United States","California",95405,"Residential"
939944,271948,"Saint Louis","United States","Missouri",63131,"Residential"
117437,272444,"Fort Pierce","United States","Florida",34981,"Residential"
434489,272679,"El Paso","United States","Texas",88519,"Residential"
334264,273696,"Pensacola","United States","Florida",26422,"Residential"
173460,274647,"Dallas","United States","Texas",75216,"Business"
66874,275182,"Harrisburg","United States","Pennsylvania",10213,"Business"
98258,276035,"Nashville","United States","Tennessee",7052,"Residential"
586431,276381,"Houston","United States","Texas",77260,"Residential"
210276,278734,"Milwaukee","United States","Wisconsin",53225,"Residential"
975628,279504,"Columbus","United States","Ohio",43215,"Residential"
142652,280433,"Chicago","United States","Illinois",59617,"Residential"
100469,281540,"Johnson City","United States","Tennessee",37605,"Residential"
305742,282015,"Baton Rouge","United States","Louisiana",70894,"Residential"
232188,283104,"Harrisburg","United States","Pennsylvania",3307,"Business"
107687,284561,"Columbus","United States","Ohio",35803,"Residential"
97997,284613,"Seattle","United States","Washington",46361,"Residential"
410137,286042,"West Palm Beach","United States","Florida",33405,"Business"
723837,286192,"Topeka","United States","Kansas",66617,"Residential"
128930,288739,"Jackson","United States","Mississippi",13358,"Residential"
730746,290189,"Las Vegas","United States","Nevada",89110,"Residential"
186571,290341,"San Diego","United States","California",23407,"Other"
27857,290889,"Fresno","United States","California",64889,"Business"
623071,292332,"Greensboro","United States","North Carolina",27404,"Business"
702689,292979,"Aurora","United States","Colorado",80044,"Residential"
919774,294078,"Richmond","United States","Virginia",23237,"Residential"
598826,294145,"Fort Worth","United States","Texas",76198,"Other"
36511,295564,"Jefferson City","United States","Missouri",57471,"Residential"
295163,295656,"Honolulu","United States","Hawaii",61140,"Residential"
582424,296702,"Syracuse","United States","New York",13205,"Residential"
455208,299122,"West Palm Beach","United States","Florida",33405,"Residential"
40896,304594,"Aurora","United States","Colorado",69830,"Residential"
762009,305425,"Boston","United States","Massachusetts",2203,"Residential"
236122,305646,"Irving","United States","Texas",75037,"Residential"
810196,306960,"Houston","United States","Texas",77299,"Business"
716832,307284,"El Paso","United States","Texas",88530,"Other"
491843,307396,"Baton Rouge","United States","Louisiana",49682,"Residential"
371683,307683,"Lawrenceville","United States","Georgia",30045,"Business"
286157,307862,"San Jose","United States","California",75249,"Residential"
595194,309341,"San Antonio","United States","Texas",78215,"Business"
587686,310031,"Greensboro","United States","North Carolina",14517,"Business"
3488,310100,"San Francisco","United States","California",77351,"Residential"
139374,311491,"Louisville","United States","Kentucky",3072,"Residential"
397233,311687,"Minneapolis","United States","Minnesota",22395,"Residential"
452427,312400,"Fort Worth","United States","Texas",48666,"Residential"
393470,312623,"Colorado Springs","United States","Colorado",80935,"Residential"
810610,313359,"Mountain View","United States","California",94042,"Residential"
627123,315005,"Albany","United States","New York",12205,"Business"
960043,317403,"Chicago","United States","Illinois",60624,"Residential"
223308,317439,"Conroe","United States","Texas",77305,"Other"
58807,317828,"Charlotte","United States","North Carolina",3093,"Residential"
148320,318269,"Atlanta","United States","Georgia",31136,"Residential"
153821,318825,"Trenton","United States","New Jersey",8650,"Residential"
545190,319112,"Washington","United States","District of Columbia",13508,"Business"
644435,319957,"Sparks","United States","Nevada",89436,"Business"
791697,321844,"Chicago","United States","Illinois",60604,"Business"
446876,321962,"Manassas","United States","Virginia",22111,"Residential"
411443,323970,"Charleston","United States","West Virginia",25362,"Residential"
986362,324140,"Atlanta","United States","Georgia",31106,"Business"
487545,326258,"Springfield","United States","Illinois",62764,"Residential"
161180,327783,"Miami","United States","Florida",33169,"Residential"
68178,328718,"Houston","United States","Texas",67600,"Other"
393219,330938,"Englewood","United States","Colorado",21009,"Other"
925089,331119,"Phoenix","United States","Arizona",85099,"Residential"
195005,332324,"Cumming","United States","Georgia",30130,"Business"
387711,333798,"Washington","United States","District of Columbia",20566,"Business"
24844,339212,"Albany","United States","New York",11644,"Residential"
45835,339928,"Miami","United States","Florida",2167,"Residential"
158245,340872,"London","United States","Kentucky",40745,"Residential"
48354,342857,"Lexington","United States","Kentucky",12686,"Business"
265161,344950,"Buffalo","United States","New York",1951,"Business"
903164,345090,"Toledo","United States","Ohio",43605,"Business"
663024,345914,"West Palm Beach","United States","Florida",33416,"Residential"
329310,348238,"Baltimore","United States","Maryland",15855,"Business"
426918,350494,"Whittier","United States","California",46090,"Residential"
112786,350541,"Little Rock","United States","Arkansas",3205,"Business"
869221,352909,"Dallas","United States","Texas",75387,"Residential"
192401,353874,"Buffalo","United States","New York",5787,"Residential"
598405,354012,"Houston","United States","Texas",77260,"Residential"
463363,355696,"Stockton","United States","California",95205,"Residential"
883293,355763,"Syracuse","United States","New York",13205,"Residential"
295735,356198,"Denver","United States","Colorado",80217,"Business"
508709,357586,"Saint Paul","United States","Minnesota",55108,"Residential"
530471,357737,"Maple Plain","United States","Minnesota",55579,"Business"
346569,357922,"North Little Rock","United States","Arkansas",64123,"Residential"
194436,358498,"El Paso","United States","Texas",88519,"Residential"
283011,362396,"Lincoln","United States","Nebraska",68517,"Residential"
122165,363170,"Durham","United States","North Carolina",21695,"Business"
699406,364222,"Paterson","United States","New Jersey",7522,"Business"
736392,366292,"Jacksonville","United States","Florida",32209,"Residential"
864864,366342,"Saint Louis","United States","Missouri",63169,"Other"
521650,367457,"Houston","United States","Texas",77075,"Residential"
382535,369131,"Clearwater","United States","Florida",34629,"Residential"
105440,369534,"Atlanta","United States","Georgia",12679,"Residential"
32458,369625,"New York City","United States","New York",906,"Residential"
861002,370020,"Hicksville","United States","New York",11854,"Residential"
189647,370208,"Garland","United States","Texas",54998,"Residential"
561845,372070,"Midland","United States","Michigan",24637,"Business"
973442,373693,"Buffalo","United States","New York",14225,"Residential"
429985,373727,"Waterbury","United States","Connecticut",6705,"Residential"
690264,374134,"Washington","United States","District of Columbia",20420,"Business"
665715,376486,"Philadelphia","United States","Pennsylvania",19125,"Residential"
347754,376937,"San Diego","United States","California",92153,"Residential"
221493,377270,"Hyattsville","United States","Maryland",20784,"Other"
523343,379387,"Billings","United States","Montana",59112,"Residential"
217011,379482,"San Diego","United States","California",92105,"Business"
990998,380359,"Jacksonville","United States","Florida",32204,"Business"
663077,382107,"Dallas","United States","Texas",75323,"Other"
491757,385453,"Brooklyn","United States","New York",11210,"Residential"
530095,387962,"Asheville","United States","North Carolina",14985,"Business"
233220,388559,"Jacksonville","United States","Florida",22512,"Residential"
88647,389637,"Lincoln","United States","Nebraska",25492,"Residential"
973491,389674,"Santa Rosa","United States","California",95405,"Business"
350157,390821,"Biloxi","United States","Mississippi",39534,"Business"
266312,390888,"Cincinnati","United States","Ohio",45249,"Residential"
753127,391215,"Springfield","United States","Massachusetts",1129,"Residential"
418613,391404,"Washington","United States","District of Columbia",20409,"Business"
521866,392546,"Jacksonville","United States","Florida",32236,"Residential"
441422,393303,"Los Angeles","United States","California",90055,"Other"
105409,395324,"Houston","United States","Texas",77075,"Residential"
912583,395938,"Anniston","United States","Alabama",36205,"Residential"
319302,396410,"El Paso","United States","Texas",88514,"Business"
912673,396448,"Raleigh","United States","North Carolina",27690,"Business"
930470,396814,"Jamaica","United States","New York",11480,"Residential"
721524,396820,"Jeffersonville","United States","Indiana",28654,"Business"
775772,398025,"San Antonio","United States","Texas",78215,"Residential"
46515,399060,"Fresno","United States","California",10205,"Residential"
284432,399436,"Charleston","United States","West Virginia",25362,"Other"
835943,399900,"Tacoma","United States","Washington",98447,"Business"
401001,400834,"Atlanta","United States","Georgia",30358,"Business"
292575,400854,"Biloxi","United States","Mississippi",35981,"Business"
315990,400950,"San Diego","United States","California",12638,"Residential"
831070,401253,"Huntington","United States","West Virginia",25775,"Other"
663535,401845,"Albany","United States","Georgia",31704,"Business"
953679,403101,"Wilmington","United States","North Carolina",28405,"Residential"
450972,403111,"Fort Lauderdale","United States","Florida",8366,"Business"
97374,405119,"Albuquerque","United States","New Mexico",16697,"Residential"
506188,406052,"Chicago","United States","Illinois",24392,"Other"
101611,406662,"Kansas City","United States","Missouri",28321,"Residential"
366881,407671,"Salt Lake City","United States","Utah",13003,"Residential"
63261,407801,"Birmingham","United States","Alabama",18004,"Residential"
270433,408249,"Kingsport","United States","Tennessee",37665,"Residential"
689941,410004,"San Antonio","United States","Texas",78220,"Other"
376209,410857,"Dallas","United States","Texas",71217,"Other"
770075,410958,"Sioux Falls","United States","South Dakota",57193,"Residential"
333373,411300,"Saint Cloud","United States","Minnesota",56372,"Residential"
953284,412297,"San Diego","United States","California",92191,"Residential"
168556,415708,"Oklahoma City","United States","Oklahoma",73190,"Other"
644198,416056,"Cleveland","United States","Ohio",44105,"Residential"
380463,416329,"Syracuse","United States","New York",13205,"Residential"
654788,416576,"Philadelphia","United States","Pennsylvania",19191,"Residential"
675756,417312,"Garland","United States","Texas",36332,"Business"
415695,418576,"Anchorage","United States","Alaska",99507,"Business"
949691,419525,"Oklahoma City","United States","Oklahoma",73129,"Residential"
754431,420021,"Baltimore","United States","Maryland",21281,"Business"
495010,420147,"Anniston","United States","Alabama",24152,"Other"
968650,422367,"Amarillo","United States","Texas",79165,"Residential"
295346,426924,"Detroit","United States","Michigan",9949,"Residential"
124074,427124,"Kissimmee","United States","Florida",34745,"Residential"
409716,427207,"Whittier","United States","California",32160,"Business"
891003,427817,"Evansville","United States","Indiana",29783,"Residential"
907553,429258,"Ocala","United States","Florida",34479,"Business"
361691,429721,"Knoxville","United States","Tennessee",23033,"Business"
445778,429763,"Cleveland","United States","Ohio",44105,"Residential"
849264,430491,"Savannah","United States","Georgia",31422,"Business"
186512,432267,"Newark","United States","New Jersey",137,"Residential"
630783,432849,"Jackson","United States","Mississippi",32672,"Business"
656223,433265,"Pittsburgh","United States","Pennsylvania",15286,"Residential"
928598,434610,"Baton Rouge","United States","Louisiana",70894,"Residential"
564742,436040,"Richmond","United States","Virginia",7416,"Business"
342131,436126,"Anchorage","United States","Alaska",99507,"Residential"
751036,437596,"Chicago","United States","Illinois",60657,"Residential"
219812,438157,"Scranton","United States","Pennsylvania",18505,"Residential"
654860,439264,"Washington","United States","District of Columbia",20430,"Other"
684398,439442,"Sacramento","United States","California",94291,"Residential"
673063,443030,"Los Angeles","United States","California",90065,"Residential"
779439,443207,"Tucson","United States","Arizona",85715,"Residential"
60379,443303,"Roanoke","United States","Virginia",20445,"Residential"
104998,443331,"New York City","United States","New York",537,"Business"
775183,443589,"Wichita","United States","Kansas",67210,"Business"
666477,443992,"Kansas City","United States","Kansas",66105,"Business"
335099,444330,"Naples","United States","Florida",34108,"Residential"
764160,444452,"Jacksonville","United States","Florida",32204,"Residential"
905182,446183,"Garden Grove","United States","California",92645,"Residential"
240133,446846,"Evansville","United States","Indiana",748,"Business"
320040,447219,"Conroe","United States","Texas",67888,"Residential"
275321,447804,"Des Moines","United States","Iowa",50393,"Residential"
828427,448243,"Amarillo","United States","Texas",79171,"Other"
197346,448548,"Durham","United States","North Carolina",9690,"Business"
342737,449971,"Rochester","United States","New York",14604,"Residential"
175606,450009,"Austin","United States","Texas",34056,"Residential"
741905,451307,"Shawnee Mission","United States","Kansas",66205,"Residential"
561465,451354,"Las Vegas","United States","Nevada",89155,"Other"
136066,451897,"Lynn","United States","Massachusetts",1905,"Business"
139410,452199,"Sacramento","United States","California",63730,"Residential"
433574,452943,"Asheville","United States","North Carolina",28805,"Other"
228914,453241,"Charlotte","United States","North Carolina",28263,"Business"
676173,453543,"Austin","United States","Texas",78759,"Residential"
229827,454600,"Kingsport","United States","Tennessee",37665,"Residential"
242429,455182,"Melbourne","United States","Florida",32941,"Business"
246837,455671,"Chesapeake","United States","Virginia",23273,"Residential"
408423,457687,"Charlotte","United States","North Carolina",24296,"Business"
603484,458142,"Albany","United States","New York",4836,"Other"
317635,459206,"Las Vegas","United States","Nevada",89135,"Residential"
138118,460174,"Shreveport","United States","Louisiana",71151,"Residential"
702672,460209,"Simi Valley","United States","California",93094,"Business"
329755,461048,"Valdosta","United States","Georgia",31605,"Residential"
342098,462091,"Austin","United States","Texas",78726,"Business"
798947,462897,"Washington","United States","District of Columbia",20036,"Residential"
419451,463209,"North Little Rock","United States","Arkansas",72199,"Residential"
196804,464499,"Greensboro","United States","North Carolina",27455,"Residential"
702510,465583,"Albuquerque","United States","New Mexico",87140,"Residential"
363015,465779,"Atlanta","United States","Georgia",30343,"Residential"
354667,465895,"Orlando","United States","Florida",32885,"Residential"
134421,468526,"El Paso","United States","Texas",88530,"Residential"
100640,469496,"Inglewood","United States","California",55370,"Residential"
374435,470542,"Wilmington","United States","Delaware",19892,"Other"
358927,471747,"Tampa","United States","Florida",6752,"Business"
626138,473162,"West Palm Beach","United States","Florida",33405,"Residential"
222163,473402,"Durham","United States","North Carolina",27717,"Business"
642415,473850,"Tampa","United States","Florida",33661,"Residential"
558355,474752,"Fort Wayne","United States","Indiana",46896,"Residential"
334000,474883,"Oklahoma City","United States","Oklahoma",73173,"Residential"
789941,475078,"Bloomington","United States","Indiana",47405,"Residential"
626371,476940,"Greeley","United States","Colorado",80638,"Residential"
721992,479005,"Petaluma","United States","California",94975,"Residential"
906571,480001,"El Paso","United States","Texas",79940,"Residential"
312510,480005,"Des Moines","United States","Iowa",50362,"Other"
740588,480325,"Columbus","United States","Ohio",43215,"Residential"
79896,480448,"Syracuse","United States","New York",12820,"Residential"
140754,480560,"Ocala","United States","Florida",34479,"Residential"
937090,480739,"Austin","United States","Texas",78703,"Residential"
941331,481029,"Jackson","United States","Mississippi",38371,"Residential"
158073,482977,"Saint Louis","United States","Missouri",54142,"Business"
857889,484019,"Chicago","United States","Illinois",60674,"Residential"
895957,484437,"Flushing","United States","New York",11355,"Residential"
44970,484494,"New York City","United States","New York",6753,"Business"
510558,484625,"Saint Petersburg","United States","Florida",33710,"Business"
861220,486198,"Philadelphia","United States","Pennsylvania",4023,"Residential"
446239,486450,"Macon","United States","Georgia",31205,"Residential"
392082,486526,"Fullerton","United States","California",92640,"Business"
532530,486919,"Springfield","United States","Illinois",62756,"Business"
201217,488415,"Omaha","United States","Nebraska",68134,"Residential"
574790,489673,"Fort Pierce","United States","Florida",14883,"Residential"
660870,489760,"Cleveland","United States","Ohio",44185,"Business"
343856,489842,"Charleston","United States","South Carolina",26620,"Business"
350655,491392,"Grand Rapids","United States","Michigan",28787,"Residential"
933399,492198,"Gainesville","United States","Florida",32605,"Residential"
359069,492992,"Houston","United States","Texas",77035,"Residential"
784435,493116,"Tampa","United States","Florida",33661,"Other"
439437,493521,"Daytona Beach","United States","Florida",32123,"Business"
260245,495993,"Fort Worth","United States","Texas",25295,"Business"
498753,496896,"West Palm Beach","United States","Florida",33416,"Residential"
420181,497215,"Washington","United States","District of Columbia",5134,"Residential"
152987,497456,"Hartford","United States","Connecticut",2019,"Residential"
604367,498241,"Tyler","United States","Texas",75799,"Business"
759495,499770,"Flushing","United States","New York",9865,"Residential"
802962,500336,"Pittsburgh","United States","Pennsylvania",15255,"Business"
835757,501041,"Huntington","United States","West Virginia",25705,"Business"
182712,503084,"Miami Beach","United States","Florida",33141,"Residential"
431802,503689,"Camden","United States","New Jersey",8104,"Residential"
123821,504020,"Phoenix","United States","Arizona",85099,"Residential"
290448,505487,"Farmington","United States","Michigan",48335,"Business"
696204,505774,"San Antonio","United States","Texas",78215,"Business"
716449,506905,"Houston","United States","Texas",77035,"Residential"
927996,506989,"Columbus","United States","Ohio",43240,"Residential"
151870,507554,"Charleston","United States","West Virginia",13934,"Residential"
301030,508360,"Las Vegas","United States","Nevada",89155,"Residential"
131335,509988,"Baltimore","United States","Maryland",11482,"Business"
185871,510147,"Erie","United States","Pennsylvania",16550,"Residential"
921369,510241,"Santa Ana","United States","California",92725,"Residential"
759399,516251,"Palmdale","United States","California",93591,"Residential"
900044,516996,"New Orleans","United States","Louisiana",70183,"Other"
321594,517604,"Richmond","United States","California",94807,"Residential"
810442,518539,"Tampa","United States","Florida",28251,"Business"
532095,519155,"Portland","United States","Oregon",97240,"Residential"
210293,519864,"Cincinnati","United States","Ohio",15111,"Business"
612950,520004,"Sacramento","United States","California",95833,"Other"
50934,521000,"Petaluma","United States","California",25953,"Residential"
252668,521896,"Dearborn","United States","Michigan",48126,"Business"
652030,523920,"New Orleans","United States","Louisiana",70174,"Residential"
714519,524308,"Los Angeles","United States","California",90094,"Residential"
47161,524822,"Atlanta","United States","Georgia",9278,"Business"
553808,525308,"Stockton","United States","California",81326,"Residential"
436071,525571,"London","United States","Kentucky",33860,"Residential"
11393,532350,"Staten Island","United States","New York",2181,"Other"
