"seller_id","seller_name","seller_address","seller_delivery_method"
8356,"Seller ISeller CSeller D","Seller Address 59","Express Shipping"
8053,"Seller RSeller VSeller Y","Seller Address 32","Courier"
8392,"Seller CSeller ZSeller Y","Seller Address 43","Standard Shipping"
2781,"Seller LSeller DSeller F","Seller Address 99","Standard Shipping"
5002,"Seller QSeller NSeller M","Seller Address 86","Express Shipping"
4002,"Seller CSeller PSeller M","Seller Address 68","Express Shipping"
2628,"Seller LSeller GSeller H","Seller Address 28","Standard Shipping"
5829,"Seller GSeller CSeller N","Seller Address 64","Express Shipping"
2857,"Seller BSeller YSeller F","Seller Address 1","Standard Shipping"
1859,"Seller BSeller DSeller B","Seller Address 66","Express Shipping"
6670,"Seller PSeller WSeller V","Seller Address 20","Courier"
1005,"Seller XSeller PSeller K","Seller Address 33","Courier"
6182,"Seller OSeller ASeller Z","Seller Address 15","Courier"
3439,"Seller MSeller QSeller Y","Seller Address 69","Standard Shipping"
8382,"Seller FSeller QSeller M","Seller Address 42","Pickup"
2538,"Seller BSeller RSeller R","Seller Address 77","Pickup"
1154,"Seller WSeller USeller Y","Seller Address 69","Courier"
7980,"Seller FSeller OSeller A","Seller Address 35","Pickup"
7448,"Seller NSeller SSeller H","Seller Address 24","Courier"
4928,"Seller LSeller MSeller J","Seller Address 37","Courier"
9437,"Seller KSeller OSeller Q","Seller Address 59","Courier"
7834,"Seller ASeller ESeller G","Seller Address 50","Express Shipping"
3159,"Seller RSeller OSeller M","Seller Address 60","Courier"
7795,"Seller JSeller LSeller Y","Seller Address 99","Pickup"
9108,"Seller OSeller ASeller Y","Seller Address 5","Pickup"
7233,"Seller FSeller FSeller A","Seller Address 47","Pickup"
3579,"Seller QSeller VSeller S","Seller Address 45","Express Shipping"
2445,"Seller CSeller DSeller K","Seller Address 50","Express Shipping"
6698,"Seller MSeller FSeller B","Seller Address 3","Standard Shipping"
3649,"Seller CSeller ASeller I","Seller Address 16","Standard Shipping"
1298,"Seller MSeller TSeller P","Seller Address 31","Courier"
4750,"Seller USeller USeller H","Seller Address 38","Express Shipping"
5380,"Seller USeller USeller L","Seller Address 70","Standard Shipping"
1692,"Seller DSeller KSeller J","Seller Address 39","Express Shipping"
2103,"Seller ESeller KSeller B","Seller Address 85","Courier"
6468,"Seller ZSeller NSeller O","Seller Address 66","Standard Shipping"
9639,"Seller OSeller BSeller T","Seller Address 75","Standard Shipping"
7697,"Seller ESeller PSeller R","Seller Address 74","Standard Shipping"
5634,"Seller OSeller ESeller L","Seller Address 99","Standard Shipping"
1598,"Seller PSeller WSeller G","Seller Address 24","Standard Shipping"
3895,"Seller QSeller PSeller X","Seller Address 95","Express Shipping"
6968,"Seller NSeller CSeller E","Seller Address 88","Standard Shipping"
7285,"Seller OSeller TSeller L","Seller Address 73","Courier"
5704,"Seller ASeller XSeller G","Seller Address 58","Standard Shipping"
1814,"Seller PSeller SSeller G","Seller Address 25","Standard Shipping"
7020,"Seller ZSeller ISeller T","Seller Address 60","Courier"
3708,"Seller FSeller QSeller Q","Seller Address 59","Express Shipping"
7487,"Seller ESeller XSeller P","Seller Address 19","Pickup"
3220,"Seller YSeller CSeller C","Seller Address 50","Express Shipping"
3809,"Seller HSeller NSeller X","Seller Address 80","Express Shipping"
4258,"Seller TSeller HSeller A","Seller Address 26","Pickup"
1468,"Seller BSeller MSeller J","Seller Address 64","Courier"
1585,"Seller VSeller ISeller Y","Seller Address 11","Express Shipping"
4486,"Seller NSeller LSeller N","Seller Address 27","Standard Shipping"
6061,"Seller MSeller WSeller V","Seller Address 13","Pickup"
1433,"Seller DSeller USeller L","Seller Address 29","Express Shipping"
4994,"Seller OSeller MSeller W","Seller Address 5","Standard Shipping"
6212,"Seller QSeller FSeller U","Seller Address 23","Courier"
9957,"Seller HSeller OSeller P","Seller Address 82","Pickup"
9251,"Seller WSeller NSeller M","Seller Address 8","Express Shipping"
8071,"Seller USeller TSeller D","Seller Address 61","Express Shipping"
9454,"Seller FSeller LSeller H","Seller Address 25","Pickup"
7005,"Seller VSeller VSeller D","Seller Address 27","Express Shipping"
6662,"Seller TSeller YSeller N","Seller Address 22","Courier"
5266,"Seller PSeller SSeller F","Seller Address 47","Express Shipping"
3684,"Seller BSeller LSeller U","Seller Address 31","Standard Shipping"
9838,"Seller LSeller ASeller B","Seller Address 20","Pickup"
9154,"Seller USeller USeller R","Seller Address 19","Pickup"
2355,"Seller WSeller FSeller T","Seller Address 13","Pickup"
7665,"Seller USeller ISeller Q","Seller Address 73","Pickup"
8431,"Seller XSeller ASeller G","Seller Address 32","Courier"
2129,"Seller JSeller HSeller J","Seller Address 42","Standard Shipping"
5494,"Seller KSeller VSeller Y","Seller Address 30","Pickup"
9812,"Seller PSeller JSeller E","Seller Address 16","Courier"
8560,"Seller DSeller NSeller T","Seller Address 38","Standard Shipping"
5902,"Seller LSeller USeller J","Seller Address 56","Standard Shipping"
3309,"Seller WSeller DSeller V","Seller Address 84","Pickup"
1978,"Seller ASeller VSeller L","Seller Address 39","Pickup"
9182,"Seller ESeller GSeller T","Seller Address 97","Express Shipping"
1667,"Seller LSeller ESeller M","Seller Address 71","Standard Shipping"
5702,"Seller OSeller GSeller G","Seller Address 19","Standard Shipping"
1139,"Seller NSeller WSeller M","Seller Address 7","Pickup"
1410,"Seller USeller ESeller B","Seller Address 71","Courier"
7656,"Seller GSeller PSeller I","Seller Address 35","Courier"
5456,"Seller ISeller JSeller Y","Seller Address 11","Standard Shipping"
6794,"Seller CSeller VSeller C","Seller Address 93","Express Shipping"
9344,"Seller VSeller VSeller Y","Seller Address 95","Express Shipping"
8855,"Seller ZSeller ISeller C","Seller Address 87","Pickup"
8622,"Seller YSeller OSeller L","Seller Address 83","Standard Shipping"
4007,"Seller ISeller DSeller F","Seller Address 83","Pickup"
6565,"Seller CSeller FSeller B","Seller Address 73","Courier"
7249,"Seller ESeller WSeller B","Seller Address 14","Courier"
5037,"Seller QSeller QSeller A","Seller Address 82","Express Shipping"
7032,"Seller ISeller SSeller F","Seller Address 3","Express Shipping"
8355,"Seller HSeller DSeller J","Seller Address 50","Pickup"
1088,"Seller YSeller JSeller X","Seller Address 90","Courier"
6951,"Seller YSeller ESeller F","Seller Address 25","Courier"
2468,"Seller QSeller HSeller V","Seller Address 69","Courier"
2348,"Seller HSeller BSeller C","Seller Address 21","Pickup"
5711,"Seller VSeller NSeller X","Seller Address 91","Standard Shipping"
5563,"Seller LSeller NSeller S","Seller Address 60","Standard Shipping"
2184,"Seller YSeller ASeller O","Seller Address 88","Standard Shipping"
6530,"Seller WSeller XSeller V","Seller Address 80","Pickup"
6823,"Seller GSeller ESeller C","Seller Address 91","Courier"
2841,"Seller DSeller OSeller O","Seller Address 34","Pickup"
5952,"Seller TSeller KSeller D","Seller Address 58","Standard Shipping"
4444,"Seller WSeller QSeller I","Seller Address 89","Express Shipping"
7007,"Seller CSeller CSeller Y","Seller Address 12","Express Shipping"
3160,"Seller USeller ESeller Z","Seller Address 29","Express Shipping"
8449,"Seller JSeller VSeller F","Seller Address 74","Standard Shipping"
9488,"Seller BSeller MSeller B","Seller Address 39","Standard Shipping"
4453,"Seller HSeller ZSeller K","Seller Address 42","Standard Shipping"
4974,"Seller JSeller BSeller U","Seller Address 6","Pickup"
8750,"Seller ISeller WSeller F","Seller Address 60","Courier"
8035,"Seller ASeller ZSeller B","Seller Address 39","Pickup"
6624,"Seller CSeller LSeller D","Seller Address 47","Express Shipping"
1186,"Seller FSeller ISeller C","Seller Address 93","Express Shipping"
3794,"Seller DSeller FSeller H","Seller Address 9","Express Shipping"
8226,"Seller FSeller CSeller Q","Seller Address 75","Standard Shipping"
9396,"Seller MSeller NSeller C","Seller Address 95","Pickup"
6092,"Seller BSeller PSeller T","Seller Address 92","Express Shipping"
6748,"Seller CSeller KSeller S","Seller Address 67","Courier"
7684,"Seller PSeller YSeller E","Seller Address 78","Standard Shipping"
9842,"Seller CSeller CSeller B","Seller Address 96","Courier"
3129,"Seller WSeller ESeller M","Seller Address 28","Standard Shipping"
6472,"Seller YSeller QSeller S","Seller Address 46","Express Shipping"
2828,"Seller TSeller GSeller L","Seller Address 44","Courier"
2550,"Seller XSeller MSeller N","Seller Address 71","Standard Shipping"
3861,"Seller YSeller ESeller L","Seller Address 28","Standard Shipping"
5667,"Seller SSeller NSeller V","Seller Address 2","Pickup"
7186,"Seller TSeller GSeller S","Seller Address 59","Pickup"
9505,"Seller ZSeller ASeller H","Seller Address 70","Express Shipping"
1594,"Seller RSeller VSeller X","Seller Address 44","Express Shipping"
2011,"Seller DSeller QSeller S","Seller Address 93","Courier"
4160,"Seller DSeller YSeller U","Seller Address 27","Standard Shipping"
8060,"Seller GSeller OSeller D","Seller Address 66","Courier"
6161,"Seller ASeller XSeller J","Seller Address 1","Standard Shipping"
1847,"Seller JSeller ISeller Q","Seller Address 72","Pickup"
1635,"Seller XSeller ASeller Y","Seller Address 20","Courier"
6993,"Seller LSeller FSeller K","Seller Address 95","Express Shipping"
3700,"Seller VSeller ASeller Z","Seller Address 70","Pickup"
3125,"Seller QSeller ISeller Z","Seller Address 72","Pickup"
4293,"Seller WSeller OSeller R","Seller Address 56","Express Shipping"
4822,"Seller ASeller ASeller R","Seller Address 25","Express Shipping"
9567,"Seller MSeller DSeller J","Seller Address 50","Express Shipping"
3556,"Seller HSeller PSeller N","Seller Address 81","Standard Shipping"
3656,"Seller GSeller GSeller E","Seller Address 28","Standard Shipping"
2985,"Seller PSeller PSeller S","Seller Address 26","Pickup"
6915,"Seller HSeller GSeller E","Seller Address 88","Express Shipping"
4128,"Seller TSeller ISeller N","Seller Address 8","Standard Shipping"
7181,"Seller DSeller SSeller Q","Seller Address 9","Standard Shipping"
6137,"Seller NSeller ZSeller B","Seller Address 43","Courier"
9752,"Seller ESeller RSeller H","Seller Address 40","Courier"
3170,"Seller USeller VSeller V","Seller Address 82","Pickup"
8621,"Seller DSeller JSeller U","Seller Address 15","Standard Shipping"
2325,"Seller YSeller XSeller C","Seller Address 33","Standard Shipping"
8651,"Seller SSeller QSeller H","Seller Address 92","Courier"
3040,"Seller LSeller YSeller E","Seller Address 96","Pickup"
7033,"Seller ASeller VSeller B","Seller Address 16","Pickup"
8275,"Seller MSeller ISeller Q","Seller Address 87","Courier"
9131,"Seller ISeller ZSeller V","Seller Address 17","Standard Shipping"
5160,"Seller YSeller ZSeller R","Seller Address 34","Standard Shipping"
8734,"Seller VSeller CSeller E","Seller Address 17","Standard Shipping"
1277,"Seller RSeller ASeller P","Seller Address 75","Pickup"
7313,"Seller TSeller NSeller E","Seller Address 39","Courier"
1644,"Seller FSeller USeller I","Seller Address 97","Pickup"
8311,"Seller CSeller ZSeller U","Seller Address 49","Standard Shipping"
1386,"Seller FSeller ISeller F","Seller Address 49","Pickup"
8167,"Seller TSeller BSeller D","Seller Address 16","Pickup"
1542,"Seller XSeller ZSeller V","Seller Address 14","Courier"
6793,"Seller KSeller XSeller U","Seller Address 20","Express Shipping"
8025,"Seller VSeller BSeller Y","Seller Address 82","Pickup"
3397,"Seller HSeller GSeller Y","Seller Address 40","Standard Shipping"
2931,"Seller LSeller ESeller U","Seller Address 100","Standard Shipping"
9121,"Seller DSeller PSeller G","Seller Address 99","Courier"
5838,"Seller ZSeller ESeller V","Seller Address 87","Express Shipping"
4724,"Seller HSeller XSeller O","Seller Address 57","Pickup"
1822,"Seller HSeller TSeller V","Seller Address 49","Courier"
3094,"Seller NSeller BSeller K","Seller Address 10","Express Shipping"
8405,"Seller NSeller VSeller V","Seller Address 91","Standard Shipping"
2270,"Seller NSeller DSeller J","Seller Address 4","Standard Shipping"
4045,"Seller ISeller OSeller G","Seller Address 25","Standard Shipping"
6346,"Seller YSeller CSeller N","Seller Address 44","Pickup"
8600,"Seller USeller DSeller K","Seller Address 32","Pickup"
6436,"Seller VSeller RSeller O","Seller Address 35","Standard Shipping"
5469,"Seller CSeller NSeller Z","Seller Address 44","Pickup"
6941,"Seller KSeller KSeller D","Seller Address 31","Courier"
7165,"Seller TSeller QSeller L","Seller Address 92","Express Shipping"
3472,"Seller FSeller XSeller A","Seller Address 24","Courier"
9498,"Seller CSeller BSeller J","Seller Address 65","Express Shipping"
7554,"Seller LSeller PSeller R","Seller Address 21","Pickup"
1867,"Seller RSeller USeller H","Seller Address 82","Express Shipping"
3680,"Seller KSeller RSeller P","Seller Address 19","Pickup"
7527,"Seller LSeller SSeller X","Seller Address 70","Courier"
3367,"Seller MSeller GSeller I","Seller Address 80","Express Shipping"
3773,"Seller ESeller CSeller G","Seller Address 64","Express Shipping"
2414,"Seller JSeller ZSeller K","Seller Address 94","Express Shipping"
4949,"Seller CSeller MSeller P","Seller Address 97","Express Shipping"
2552,"Seller FSeller GSeller P","Seller Address 39","Pickup"
9464,"Seller MSeller ZSeller F","Seller Address 6","Pickup"
2768,"Seller BSeller LSeller Y","Seller Address 30","Pickup"
7483,"Seller OSeller WSeller J","Seller Address 32","Pickup"
6526,"Seller VSeller PSeller A","Seller Address 88","Pickup"
2988,"Seller OSeller LSeller S","Seller Address 83","Express Shipping"
8638,"Seller JSeller ISeller C","Seller Address 50","Standard Shipping"
7469,"Seller ZSeller ASeller F","Seller Address 11","Pickup"
2090,"Seller KSeller DSeller O","Seller Address 71","Standard Shipping"
1556,"Seller ZSeller RSeller U","Seller Address 19","Pickup"
1152,"Seller ESeller HSeller P","Seller Address 35","Pickup"
9612,"Seller XSeller HSeller J","Seller Address 37","Pickup"
7551,"Seller GSeller ESeller I","Seller Address 51","Express Shipping"
9006,"Seller PSeller VSeller C","Seller Address 74","Express Shipping"
2110,"Seller HSeller ESeller C","Seller Address 94","Pickup"
4742,"Seller VSeller GSeller S","Seller Address 7","Pickup"
2242,"Seller ZSeller SSeller K","Seller Address 15","Courier"
9055,"Seller JSeller HSeller Z","Seller Address 62","Courier"
4660,"Seller NSeller FSeller D","Seller Address 31","Express Shipping"
4687,"Seller OSeller MSeller N","Seller Address 9","Courier"
6811,"Seller FSeller JSeller S","Seller Address 57","Standard Shipping"
8332,"Seller XSeller ZSeller J","Seller Address 75","Courier"
3912,"Seller ASeller NSeller V","Seller Address 54","Express Shipping"
2409,"Seller QSeller QSeller A","Seller Address 28","Pickup"
4253,"Seller YSeller VSeller B","Seller Address 17","Pickup"
6560,"Seller FSeller WSeller M","Seller Address 3","Express Shipping"
3879,"Seller WSeller ISeller T","Seller Address 97","Pickup"
3719,"Seller DSeller CSeller E","Seller Address 71","Pickup"
3878,"Seller QSeller OSeller E","Seller Address 55","Express Shipping"
4558,"Seller KSeller XSeller T","Seller Address 50","Express Shipping"
9615,"Seller NSeller KSeller J","Seller Address 94","Pickup"
8235,"Seller QSeller LSeller G","Seller Address 53","Standard Shipping"
3764,"Seller RSeller ZSeller W","Seller Address 31","Standard Shipping"
4130,"Seller ASeller GSeller D","Seller Address 13","Courier"
6927,"Seller YSeller PSeller F","Seller Address 16","Express Shipping"
3540,"Seller USeller CSeller U","Seller Address 57","Standard Shipping"
8926,"Seller YSeller QSeller G","Seller Address 77","Express Shipping"
9076,"Seller BSeller USeller U","Seller Address 44","Standard Shipping"
8890,"Seller QSeller MSeller S","Seller Address 32","Pickup"
3376,"Seller ESeller HSeller X","Seller Address 88","Courier"
4105,"Seller GSeller YSeller N","Seller Address 12","Courier"
8488,"Seller SSeller SSeller V","Seller Address 78","Pickup"
4095,"Seller HSeller KSeller Y","Seller Address 26","Pickup"
1592,"Seller ESeller TSeller N","Seller Address 53","Express Shipping"
4921,"Seller YSeller JSeller D","Seller Address 73","Courier"
9360,"Seller YSeller WSeller U","Seller Address 58","Express Shipping"
9120,"Seller GSeller JSeller A","Seller Address 17","Courier"
3499,"Seller MSeller DSeller Y","Seller Address 13","Standard Shipping"
8312,"Seller HSeller XSeller J","Seller Address 24","Courier"
8239,"Seller RSeller ASeller M","Seller Address 51","Standard Shipping"
3690,"Seller XSeller SSeller A","Seller Address 17","Pickup"
4382,"Seller PSeller ISeller W","Seller Address 8","Standard Shipping"
5710,"Seller BSeller YSeller J","Seller Address 59","Pickup"
8002,"Seller CSeller BSeller M","Seller Address 95","Standard Shipping"
4471,"Seller USeller GSeller E","Seller Address 64","Express Shipping"
8347,"Seller ESeller MSeller W","Seller Address 67","Express Shipping"
6863,"Seller VSeller USeller O","Seller Address 10","Standard Shipping"
8090,"Seller FSeller HSeller O","Seller Address 5","Courier"
9585,"Seller KSeller RSeller H","Seller Address 46","Express Shipping"
2744,"Seller SSeller YSeller Z","Seller Address 89","Standard Shipping"
1033,"Seller ISeller USeller Z","Seller Address 71","Express Shipping"
2132,"Seller ESeller QSeller M","Seller Address 30","Standard Shipping"
5630,"Seller WSeller DSeller U","Seller Address 80","Courier"
4721,"Seller NSeller ASeller E","Seller Address 17","Express Shipping"
9979,"Seller DSeller FSeller O","Seller Address 41","Express Shipping"
6177,"Seller ASeller ZSeller T","Seller Address 90","Express Shipping"
2730,"Seller LSeller ESeller T","Seller Address 69","Express Shipping"
2921,"Seller OSeller ASeller Q","Seller Address 6","Express Shipping"
4619,"Seller FSeller BSeller A","Seller Address 8","Pickup"
5007,"Seller ISeller GSeller H","Seller Address 89","Pickup"
8849,"Seller DSeller ASeller F","Seller Address 9","Standard Shipping"
4191,"Seller CSeller RSeller E","Seller Address 92","Express Shipping"
7740,"Seller SSeller ZSeller K","Seller Address 32","Courier"
5569,"Seller DSeller OSeller C","Seller Address 67","Courier"
4167,"Seller CSeller ZSeller R","Seller Address 68","Courier"
9414,"Seller TSeller VSeller N","Seller Address 47","Pickup"
4289,"Seller SSeller RSeller P","Seller Address 71","Express Shipping"
4960,"Seller GSeller GSeller T","Seller Address 88","Pickup"
9494,"Seller FSeller RSeller Y","Seller Address 39","Express Shipping"
1930,"Seller FSeller CSeller M","Seller Address 17","Pickup"
1082,"Seller ISeller OSeller G","Seller Address 93","Standard Shipping"
3936,"Seller NSeller QSeller P","Seller Address 10","Pickup"
5116,"Seller QSeller JSeller S","Seller Address 53","Pickup"
6581,"Seller DSeller HSeller R","Seller Address 11","Pickup"
6125,"Seller ASeller ASeller I","Seller Address 58","Express Shipping"
7873,"Seller KSeller FSeller Z","Seller Address 31","Pickup"
3584,"Seller NSeller ISeller S","Seller Address 93","Courier"
2570,"Seller ISeller SSeller K","Seller Address 14","Courier"
2026,"Seller CSeller DSeller O","Seller Address 62","Pickup"
2418,"Seller TSeller FSeller M","Seller Address 4","Courier"
9122,"Seller ESeller ZSeller P","Seller Address 56","Courier"
1212,"Seller PSeller CSeller B","Seller Address 55","Standard Shipping"
9868,"Seller VSeller VSeller H","Seller Address 1","Express Shipping"
1321,"Seller MSeller CSeller B","Seller Address 12","Courier"
2240,"Seller DSeller PSeller Q","Seller Address 41","Courier"
5386,"Seller LSeller RSeller T","Seller Address 25","Courier"
9328,"Seller DSeller DSeller P","Seller Address 83","Pickup"
1957,"Seller HSeller NSeller Q","Seller Address 14","Pickup"
7244,"Seller YSeller YSeller S","Seller Address 32","Standard Shipping"
9873,"Seller USeller JSeller K","Seller Address 81","Express Shipping"
4367,"Seller VSeller FSeller J","Seller Address 55","Pickup"
9605,"Seller HSeller ESeller A","Seller Address 77","Express Shipping"
8653,"Seller KSeller DSeller Y","Seller Address 48","Standard Shipping"
1876,"Seller ZSeller FSeller J","Seller Address 70","Express Shipping"
8744,"Seller KSeller DSeller K","Seller Address 28","Pickup"
7075,"Seller ASeller HSeller K","Seller Address 50","Courier"
7017,"Seller WSeller QSeller X","Seller Address 12","Express Shipping"
2480,"Seller TSeller QSeller C","Seller Address 22","Standard Shipping"
4529,"Seller TSeller ASeller H","Seller Address 28","Courier"
7344,"Seller ASeller FSeller S","Seller Address 32","Express Shipping"
1295,"Seller SSeller PSeller E","Seller Address 1","Pickup"
4897,"Seller ESeller BSeller F","Seller Address 91","Express Shipping"
3306,"Seller GSeller ESeller K","Seller Address 49","Express Shipping"
2194,"Seller HSeller DSeller D","Seller Address 89","Courier"
8982,"Seller PSeller FSeller V","Seller Address 24","Standard Shipping"
9196,"Seller JSeller DSeller Q","Seller Address 48","Pickup"
7317,"Seller MSeller WSeller F","Seller Address 35","Express Shipping"
5189,"Seller ESeller KSeller W","Seller Address 14","Pickup"
9536,"Seller ESeller VSeller V","Seller Address 41","Courier"
1372,"Seller QSeller QSeller T","Seller Address 30","Express Shipping"
4727,"Seller CSeller BSeller W","Seller Address 37","Pickup"
8525,"Seller HSeller ASeller H","Seller Address 61","Express Shipping"
2816,"Seller SSeller ZSeller S","Seller Address 84","Courier"
7701,"Seller ESeller XSeller M","Seller Address 87","Standard Shipping"
6725,"Seller BSeller LSeller Q","Seller Address 68","Standard Shipping"
8949,"Seller HSeller ESeller X","Seller Address 44","Pickup"
7125,"Seller XSeller HSeller P","Seller Address 76","Courier"
6238,"Seller KSeller VSeller W","Seller Address 88","Courier"
9095,"Seller ESeller NSeller X","Seller Address 88","Express Shipping"
9460,"Seller JSeller QSeller X","Seller Address 34","Standard Shipping"
1189,"Seller DSeller PSeller J","Seller Address 33","Standard Shipping"
3001,"Seller USeller KSeller F","Seller Address 2","Standard Shipping"
1288,"Seller OSeller QSeller P","Seller Address 12","Courier"
4821,"Seller TSeller FSeller O","Seller Address 56","Pickup"
1872,"Seller MSeller ESeller R","Seller Address 60","Courier"
2214,"Seller ASeller XSeller P","Seller Address 60","Courier"
4398,"Seller XSeller OSeller H","Seller Address 99","Pickup"
5699,"Seller XSeller SSeller A","Seller Address 51","Express Shipping"
6013,"Seller LSeller LSeller T","Seller Address 3","Standard Shipping"
1369,"Seller ASeller SSeller V","Seller Address 42","Courier"
9088,"Seller RSeller FSeller S","Seller Address 27","Courier"
8458,"Seller SSeller JSeller S","Seller Address 57","Standard Shipping"
8918,"Seller VSeller PSeller F","Seller Address 20","Standard Shipping"
5520,"Seller ISeller BSeller L","Seller Address 39","Courier"
7021,"Seller USeller WSeller U","Seller Address 66","Pickup"
2586,"Seller ISeller ESeller T","Seller Address 60","Courier"
5749,"Seller PSeller SSeller U","Seller Address 4","Express Shipping"
9065,"Seller OSeller BSeller S","Seller Address 5","Express Shipping"
5190,"Seller MSeller OSeller I","Seller Address 14","Express Shipping"
5901,"Seller USeller BSeller A","Seller Address 8","Courier"
9327,"Seller KSeller JSeller T","Seller Address 10","Courier"
3784,"Seller RSeller OSeller Y","Seller Address 97","Pickup"
5775,"Seller VSeller LSeller R","Seller Address 81","Pickup"
3701,"Seller JSeller TSeller W","Seller Address 66","Standard Shipping"
7423,"Seller DSeller ISeller F","Seller Address 29","Courier"
9570,"Seller TSeller FSeller D","Seller Address 81","Courier"
1540,"Seller XSeller JSeller K","Seller Address 22","Standard Shipping"
2709,"Seller VSeller USeller G","Seller Address 84","Courier"
5961,"Seller YSeller HSeller C","Seller Address 47","Standard Shipping"
7687,"Seller OSeller TSeller C","Seller Address 60","Courier"
4485,"Seller ESeller QSeller L","Seller Address 36","Express Shipping"
9929,"Seller GSeller CSeller B","Seller Address 20","Pickup"
8282,"Seller ASeller BSeller V","Seller Address 59","Express Shipping"
6065,"Seller MSeller VSeller M","Seller Address 38","Courier"
1857,"Seller WSeller JSeller R","Seller Address 38","Courier"
9070,"Seller RSeller KSeller R","Seller Address 16","Standard Shipping"
7721,"Seller NSeller LSeller V","Seller Address 66","Courier"
2686,"Seller ASeller WSeller Z","Seller Address 83","Pickup"
1656,"Seller VSeller VSeller B","Seller Address 81","Standard Shipping"
